iter	Passed	Remaining
464	53964	62088
465	54074	61965
466	54182	61840
467	54286	61710
468	54386	61576
469	54487	61443
470	54589	61312
471	54693	61182
472	54807	61064
473	54926	60951
474	55041	60835
475	55145	60705
476	55257	60585
477	55375	60473
478	55487	60352
479	55606	60240
480	55723	60126
481	55837	60007
482	55945	59884
483	56058	59764
484	56173	59648
485	56283	59526
486	56395	59406
487	56500	59279
488	56603	59150
489	56706	59021
490	56833	58916
491	56972	58824
492	57084	58705
493	57195	58584
494	57312	58470
495	57438	58365
496	57541	58236
497	57639	58102
498	57743	57974
499	57849	57849
500	57960	57729
501	58063	57600
502	58166	57472
503	58281	57356
504	58406	57250
505	58516	57128
506	58622	57003
507	58736	56886
508	58849	56768
509	58982	56669
510	59100	56555
511	59219	56443
512	59335	56328
513	59454	56215
514	59836	56350
515	60379	56634
516	60845	56843
517	61011	56771
518	61153	56675
519	61285	56571
520	61414	56463
521	61531	56344
522	61646	56224
523	61774	56115
524	61911	56015
525	62039	55906
526	62159	55790
527	62285	55679
528	62402	55560
529	62519	55441
530	62636	55322
531	62752	55203
532	62865	55081
533	62980	54960
534	63096	54840
535	63208	54717
536	63324	54598
537	63445	54482
538	63566	54367
539	63686	54251
540	63806	54134
541	63924	54017
542	64040	53897
543	64151	53774
544	64261	53649
545	64369	53523
546	64471	53392
547	64570	53259
548	64673	53129
549	64790	53010
550	64906	52891
551	65010	52762
552	65121	52639
553	65228	52512
554	65331	52383
555	65435	52254
556	65547	52132
557	65657	52008
558	65759	51878
559	65871	51756
560	65985	51635
561	66101	51517
562	66221	51401
563	66331	51277
564	66447	51159
565	66548	51028
566	66647	50896
567	66747	50765
568	66856	50641
569	66962	50515
570	67070	50390
571	67169	50259
572	67270	50129
573	67378	50005
574	67485	49880
575	67591	49754
576	67695	49627
577	67796	49498
578	67898	49370
579	67997	49239
580	68096	49109
581	68198	48981
582	68296	48850
583	68395	48719
584	68491	48588
585	68590	48457
586	68690	48329
587	68790	48200
588	68888	48070
589	68990	47942
590	69092	47815
591	69189	47684
592	69288	47555
593	69386	47426
594	69489	47299
595	69592	47173
596	69690	47043
597	69791	46916
598	69888	46786
599	69987	46658
600	70092	46533
601	70190	46405
602	70292	46278
603	70396	46153
604	70495	46025
605	70596	45899
606	70699	45773
607	70806	45651
608	70905	45524
609	71005	45396
610	71110	45273
611	71215	45149
612	71318	45024
613	71422	44900
614	71527	44777
615	71633	44654
616	71741	44533
617	71845	44409
618	71943	44281
619	72044	44156
620	72150	44033
621	72247	43906
622	72347	43780
623	72444	43652
624	72543	43526
625	72643	43400
626	72742	43274
627	72842	43149
628	72941	43022
629	73053	42904
630	73162	42784
631	73266	42661
632	73368	42537
633	73467	42411
634	73567	42286
635	73666	42161
636	73766	42036
637	73870	41914
638	73974	41791
639	74076	41667
640	74173	41541
641	74271	41415
642	74369	41290
643	74476	41170
644	74577	41046
645	74677	40922
646	74777	40798
647	74875	40672
648	74974	40548
649	75074	40424
650	75174	40300
651	75271	40175
652	75368	40050
653	75466	39925
654	75563	39800
655	75661	39676
656	75765	39555
657	75865	39431
658	75963	39307
659	76062	39183
660	76165	39062
661	76265	38939
662	76363	38815
663	76461	38691
664	76558	38567
665	76660	38445
666	76759	38322
667	76855	38197
668	76955	38074
669	77063	37956
670	77170	37837
671	77272	37716
672	77375	37595
673	77478	37474
674	77580	37353
675	77683	37232
676	77792	37115
677	77891	36992
678	77990	36870
679	78091	36748
680	78190	36626
681	78295	36507
682	78398	36387
683	78494	36263
684	78599	36144
685	78707	36026
686	78808	35905
687	78907	35783
688	79006	35662
689	79103	35539
690	79203	35418
691	79303	35297
692	79402	35175
693	79500	35053
694	79602	34933
695	79702	34812
696	79803	34692
697	79905	34572
698	80003	34450
699	80103	34330
700	80205	34210
701	80306	34090
702	80403	33968
703	80507	33849
704	80608	33729
705	80707	33608
706	80803	33487
707	80904	33367
708	81005	33247
709	81102	33126
710	81202	33006
711	81302	32886
712	81401	32766
713	81500	32645
714	81596	32524
715	81701	32406
716	81801	32286
717	81900	32166
718	81998	32046
719	82096	31926
720	82193	31805
721	82290	31685
722	82388	31565
723	82488	31445
724	82593	31328
725	82698	31211
726	82801	31093
727	82902	30974
728	83004	30856
729	83104	30737
730	83216	30622
731	83318	30504
732	83471	30405
733	83608	30299
734	83758	30198
735	83903	30095
736	84061	29997
737	84227	29901
738	84404	29810
739	84588	29720
740	84760	29626
741	84933	29532
742	85104	29437
743	85269	29339
744	85457	29250
745	85613	29149
746	85753	29043
747	85891	28936
748	86028	28829
749	86183	28727
750	86359	28633
751	86510	28530
752	86650	28423
753	86791	28316
754	86926	28208
755	87068	28101
756	87206	27993
757	87333	27882
758	87461	27771
759	87587	27659
760	87716	27548
761	87836	27434
762	87954	27320
763	88137	27225
764	88392	27153
765	88544	27048
766	88704	26946
767	88841	26837
768	88992	26732
769	89128	26622
770	89300	26523
771	89445	26416
772	89574	26304
773	89709	26194
774	89850	26085
775	89981	25973
776	90119	25864
777	90272	25759
778	90422	25652
779	90587	25550
780	90744	25445
781	90867	25331
782	90978	25213
783	91091	25096
784	91200	24978
785	91311	24861
786	91424	24743
787	91540	24627
788	91649	24509
789	91762	24392
790	103077	27235
791	103199	27102
792	103324	26971
793	103451	26839
794	103568	26706
795	103568	26706
796	105539	26915
797	105969	26857
798	106118	26729
799	106398	26632
800	106686	26538
